Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
97	-1721287.6	977407.94	-260764.86	-4450283.5	32.086956	-437.37985	0.00016242047	-437.37408	-437.3799	392000	8.940697e-08	358192000000.0	-0.003554631	-2717696.0	0.0051300228	0.0	115.73471879959106
98	-1296024.2	562912.6	597.4522	-1772995.2	180.42857	-444.33533	0.00010622243	-444.3342	-444.33536	396000	-5.9604645e-08	72310990000.0	-0.02394644	-402198.3	0.0062792795	0.0	116.88020896911621
99	-1798642.8	1654834.0	413.41174	-5696059.5	268.625	-447.4487	6.974452e-05	-447.44766	-447.4487	400000	-4.0978193e-08	157588880000.0	-0.027291834	-306014.62	0.0051590377	0.0	117.97479295730591
100	-1353907.5	666810.0	348.79422	-2216961.5	122.8	-449.95544	0.00014037339	-449.95084	-449.95535	404000	-3.9115548e-08	75156310000.0	-0.008348875	-250326.5	0.0023215022	0.0	119.3661470413208
101	-1486928.5	584648.3	-457.7782	-2215986.5	127.77778	-452.27518	3.785902e-05	-452.2747	-452.2752	408000	7.450581e-09	65120965000.0	-0.028169952	-203804.83	0.0043276516	0.0	120.47803997993469
102	-1544291.6	654966.2	441.48697	-2485265.8	131.42105	-454.3478	0.000118194075	-454.34616	-454.34796	412000	-1.7881393e-07	209420800000.0	-0.016491145	-1735919.4	0.004913476	0.0	121.60985803604126
103	-1187558.8	737202.06	-138.90608	-2020157.4	263.5	-460.22644	5.003859e-05	-460.22604	-460.22644	416000	2.910383e-09	26318496000.0	-0.011484779	-47277.168	0.002499861	0.0	122.69249892234802
104	-1353155.0	814356.94	815.818	-2696584.8	179.35715	-461.629	0.00023350285	-461.62613	-461.62918	420000	-1.2665987e-07	141622310000.0	-0.015942998	-1013542.1	0.0057965936	0.0	123.72982287406921
105	-2006165.9	1463669.1	77.35708	-4695743.0	200.0	-466.18738	0.00016134536	-466.1815	-466.18732	424000	-2.3841858e-07	209422250000.0	-0.02064924	-717869.0	0.0045642117	0.0	124.70456600189209
106	-1469094.4	748053.0	735.44324	-3305581.8	148.75	-470.29688	8.080822e-05	-470.29596	-470.29688	428000	-2.6077032e-08	145208000000.0	-0.028903503	-1013391.0	0.009031552	0.0	125.87266087532043
107	-1906685.6	540663.2	-1282792.5	-2861083.0	24.6	-475.06244	3.8505397e-05	-475.06174	-475.06244	432000	7.450581e-09	128192770000.0	-0.010288309	-660480.0	0.0046058996	0.0	127.14855289459229
108	-1137273.8	622630.0	-435.45978	-1846980.1	220.8	-479.0093	3.7932747e-05	-479.00882	-479.00934	436000	1.8626451e-09	24431980000.0	-0.018614745	-60593.344	0.0036185423	0.0	128.53549575805664
109	-1849721.1	1302417.8	-566165.6	-4853539.0	27.857143	-480.40048	7.135829e-05	-480.39868	-480.40054	440000	1.2572855e-08	104327110000.0	-0.025274342	-232448.0	0.0050934074	0.0	129.65226483345032
110	-1715209.6	631017.3	-524810.0	-2890501.8	30.642857	-482.71625	7.754408e-05	-482.71356	-482.71628	444000	-3.5390258e-08	179755810000.0	-0.019496122	-1299456.0	0.0055260314	0.0	131.09418392181396
111	-1822378.5	698045.3	-220196.38	-3100151.5	29.875	-488.2005	7.202084e-05	-488.19965	-488.20047	448000	7.0780516e-08	214307980000.0	-0.02180579	-1867136.0	0.008131865	1.0	132.28885293006897
